distance_meters,duration_seconds,effort_type,effort_value,intensity_zone,interval_rest_seconds,intervals,set_type,source_id,target_calories,tempo,work_seconds
,,RIR,1.0,,,,,039b28fd-b343-4fc3-93fa-67e64fb9cf83,,,
,,RIR,1.0,,,,,869895e3-5a2c-4178-acc6-ada48c7ea215,,,
,,RIR,1.0,,,,,e7e62537-09c4-43f9-894b-076bb9730aeb,,,
,,RIR,4.0,,,,,53e328a3-8d07-4aa2-8dd2-e869828ed23d,,,
,,RIR,4.0,,,,,9782179a-139e-4890-b4fa-be7e6cfdf327,,,
,,RIR,4.0,,,,,e4223737-5d2e-497c-a9a4-46f4b7989fe5,,,
,,RIR,4.0,,,,,5e30d921-31d7-46ce-a84d-8f8b386b215c,,,
,,RIR,4.0,,,,,1bdc0cec-c0ea-482e-a10c-5d3f22b42012,,,
,,RIR,4.0,,,,,560a94b9-09ab-4f72-839c-08ca3d0b86da,,,
,,RIR,4.0,,,,,3ac1935b-b634-4ce8-86a3-945da44775f6,,,
,,RIR,4.0,,,,,b19c4753-808d-4e58-b80d-d63685a9578e,,,
,,RIR,4.0,,,,,6b518d40-08c0-4716-8eb8-2090ba6cebc8,,,
,,RIR,4.0,,,,,b6a6a0f1-819a-4c3a-9ae7-add90eddf91d,,,
,,RIR,4.0,,,,,57fb7a4f-065f-4db5-80d8-bcda4495003a,,,
,,RIR,4.0,,,,,a5fc02a7-fe9e-4034-b405-02a1c4f47a57,,,
,,RIR,4.0,,,,,2fdd5c15-9046-4ccc-b7f5-969e625c9152,,,
,,RIR,4.0,,,,,673935e7-05a2-4b2c-8dda-68c543df11a2,,,
,,RIR,4.0,,,,,e4b4953c-e683-4a6c-9742-aaa8b7f20306,,,
,,RIR,4.0,,,,,6529dd55-4b89-4fa4-bbe3-21bcc8425b8a,,,
,,RIR,4.0,,,,,09334424-4413-47f5-b5c4-c1ea9b16a838,,,
,,RIR,4.0,,,,,2d97a100-7dd4-4f6a-a75e-8fb1e5c57560,,,
,,RIR,4.0,,,,,390c7372-b290-41ad-89c6-1c87789e0416,,,
,,RIR,4.0,,,,,6c59be76-55b4-4894-a890-c65b3bf7275a,,,
,,RIR,4.0,,,,,f137e812-c449-4a69-b01d-7949772b056b,,,
,,RIR,4.0,,,,,72478ab1-41ac-449e-8a87-8857d1626039,,,
,,RIR,4.0,,,,,cb1d3690-7e38-48fa-a95b-39b35f357d01,,,
,,RIR,4.0,,,,,491a8e21-5ada-4602-8426-8f49775a43af,,,
,,RIR,4.0,,,,,2397181f-ab6c-4f59-8f16-5318fe445130,,,
,,RIR,4.0,,,,,c3bf4bcb-3ffb-4a70-ac40-b040fa036bf8,,,
,,RIR,4.0,,,,,bce0d3e5-f960-4ff6-9db4-6c0d29c6ac06,,,
,,RIR,4.0,,,,,89191356-e921-481a-85f2-42b46f3a1013,,,
,,RIR,4.0,,,,,cc1438c5-fbe1-4ad2-9273-6fa8a69dcd19,,,
,,RIR,4.0,,,,,33b20ae0-a0e6-4fe0-bf4a-be89773edc25,,,
,,RIR,3.0,,,,,09cf2928-c005-4296-a343-d3ec63e651c5,,,
,,RIR,3.0,,,,,69f3bb57-960f-418d-86d4-89ddcce6c333,,,
,,RIR,3.0,,,,,9ce5f839-53b6-4df8-a789-a3cb75401253,,,
,,RIR,3.0,,,,,250a1490-f91c-4e08-85a0-0622f9e0f722,,,
,,RIR,3.0,,,,,7d3212cf-a993-461a-ac8c-186785621093,,,
,,RIR,3.0,,,,,7cd0c0fb-3a21-4adf-8c36-ec2a1b3cc73b,,,
,,RIR,3.0,,,,,f53d397d-1418-4492-acde-2a56bd157a68,,,
,,RIR,3.0,,,,,5caac705-1b21-4e7d-b5cb-74972e175b4f,,,
,,RIR,3.0,,,,,1c80e583-37e7-477a-b673-b6d90c780ca4,,,
,,RIR,3.0,,,,,556a6a22-9153-45d1-9dc8-2f6e8a5421f7,,,
